Name;Essentials;Product Collection;Vertical Segment;Processor Number;Off Roadmap;Status;Launch Date;Lithography;Use Conditions;Recommended Customer Price;Performance;# of Cores;# of Threads;Processor Base Frequency;Max Turbo Frequency;Cache;# of UPI Links;TDP;Supplemental Information;Embedded Options Available;Datasheet;Memory Specifications;Memory Types;Maximum Memory Speed;Max # of Memory Channels;Max Memory Size (dependent on memory type);ECC Memory Supported ‡;IntelÂ® Optaneâ„¢ DC Persistent Memory Supported;Package Specifications;Max CPU Configuration;Sockets Supported;TCASE;Package Size;Advanced Technologies;Intel® Speed Shift Technology;Intel® Turbo Boost Technology ‡;Intel® Hyper-Threading Technology ‡;Intel® Virtualization Technology (VT-x) ‡;Intel® Transactional Synchronization Extensions;Intel® 64 ‡;Instruction Set Extensions;# of AVX-512 FMA Units;Intel® Volume Management Device (VMD);IntelÂ® Deep Learning Boost (IntelÂ® DL Boost);IntelÂ® Speed Select Technology - Performance Profile;IntelÂ® Speed Select Technology - Base Frequency;IntelÂ® Resource Director Technology (IntelÂ® RDT);IntelÂ® Turbo Boost Max Technology 3.0 ‡;IntelÂ® vProâ„¢ Platform Eligibility ‡;IntelÂ® Virtualization Technology for Directed I/O (VT-d) ‡;IntelÂ® VT-x with Extended Page Tables (EPT) ‡;Enhanced Intel SpeedStepÂ® Technology;Security & Reliability;Intel® Trusted Execution Technology ‡;Intel® Run Sure Technology;Mode-based Execute Control (MBE);IntelÂ® AES New Instructions;Execute Disable Bit ‡;Expansion Options;Scalability;PCI Express Revision;Max # of PCI Express Lanes
Intel® Xeon® Gold 6250L Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6250L;No;Launched;Q1'20;14 nm;;$6404.00;;8;16;3.90 GHz;4.50 GHz;35.75 MB;3;185 W;;No;;;DDR4-2933;2933 MHz;6;4.5 TB;Yes;Yes;;;FCLGA3647;60°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S4S;3;48
Intel® Xeon® Gold 6250 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6250;No;Launched;Q1'20;14 nm;;$3400.00;;8;16;3.90 GHz;4.50 GHz;35.75 MB;3;185 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;60°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;S4S;3;48
Intel® Xeon® Gold 6248R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6248R;No;Launched;Q1'20;14 nm;;$2700.00;;24;48;3.00 GHz;4.00 GHz;35.75 MB;2;205 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;75°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Gold 6248 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6248;No;Launched;Q2'19;14 nm;;$3072.00 - $3078.00;;20;40;2.50 GHz;3.90 GHz;27.5 MB;3;150 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;86°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6246R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6246R;No;Launched;Q1'20;14 nm;;$3286.00;;16;32;3.40 GHz;4.10 GHz;35.75 MB;2;205 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;75°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Gold 6246 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6246;No;Launched;Q2'19;14 nm;;$3286.00;;12;24;3.30 GHz;4.20 GHz;24.75 MB;3;165 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;76°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6244 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6244;No;Launched;Q2'19;14 nm;;$2925.00;;8;16;3.60 GHz;4.40 GHz;24.75 MB;3;150 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;74°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6242R Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6242R;No;Launched;Q1'20;14 nm;;$2529.00;;20;40;3.10 GHz;4.10 GHz;35.75 MB;2;205 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;76°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;2S;3;48
Intel® Xeon® Gold 6242 Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6242;No;Launched;Q2'19;14 nm;;$2529.00 - $2537.00;;16;32;2.80 GHz;3.90 GHz;22 MB;3;150 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;85°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
Intel® Xeon® Gold 6240Y Processor;;2nd Generation Intel® Xeon® Scalable Processors;Server;6240Y;No;Launched;Q2'19;14 nm;;$2726.00;;18;36;2.60 GHz;3.90 GHz;24.75 MB;3;150 W;;No;;;DDR4-2933;2933 MHz;6;1 TB;Yes;Yes;;;FCLGA3647;74°C;76.0mm x 56.5mm;;Yes;2;Yes;Yes;Yes;Yes;Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512;2;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;;4S;3;48
